"ID";"RegioS";"Perioden";"GemiddeldeWOZWaardeVanWoningen_98"
"1653";"GM1680";"1995JJ00";""
"1654";"GM1680";"1996JJ00";""
"1655";"GM1680";"1997JJ00";""
"1656";"GM1680";"1998JJ00";"      79"
"1657";"GM1680";"1999JJ00";"      80"
"1658";"GM1680";"2000JJ00";"      80"
"1659";"GM1680";"2001JJ00";"     139"
"1660";"GM1680";"2002JJ00";"     140"
"1661";"GM1680";"2003JJ00";"     140"
"1662";"GM1680";"2004JJ00";"     141"
"1663";"GM1680";"2005JJ00";"     212"
"1664";"GM1680";"2006JJ00";"     212"
"1665";"GM1680";"2007JJ00";"     239"
"1666";"GM1680";"2008JJ00";"     253"
"1667";"GM1680";"2009JJ00";"     261"
"1668";"GM1680";"2010JJ00";"     263"
"1669";"GM1680";"2011JJ00";"     261"
"1670";"GM1680";"2012JJ00";"     254"
"1671";"GM1680";"2013JJ00";"     240"
"1672";"GM1680";"2014JJ00";"     224"
"1673";"GM1680";"2015JJ00";"     217"
"1674";"GM1680";"2016JJ00";"     217"
"1675";"GM1680";"2017JJ00";"     227"
"1676";"GM1680";"2018JJ00";"     229"
"1677";"GM1680";"2019JJ00";"     241"
"1678";"GM1680";"2020JJ00";"     257"
"1679";"GM1680";"2021JJ00";"     271"
"1680";"GM1680";"2022JJ00";"     298"
"1681";"GM1680";"2023JJ00";"     342"
"1682";"GM0738";"1995JJ00";"       ."
"1683";"GM0738";"1996JJ00";"       ."
"1684";"GM0738";"1997JJ00";"     105"
"1685";"GM0738";"1998JJ00";"     105"
"1686";"GM0738";"1999JJ00";"     105"
"1687";"GM0738";"2000JJ00";"     109"
"1688";"GM0738";"2001JJ00";"     157"
"1689";"GM0738";"2002JJ00";"     158"
"1690";"GM0738";"2003JJ00";"     159"
"1691";"GM0738";"2004JJ00";"     159"
"1692";"GM0738";"2005JJ00";"     249"
"1693";"GM0738";"2006JJ00";"     246"
"1694";"GM0738";"2007JJ00";"     262"
"1695";"GM0738";"2008JJ00";"     277"
"1696";"GM0738";"2009JJ00";"     293"
"1697";"GM0738";"2010JJ00";"     296"
