ID;RegioS;Perioden;TotaleBevolking_1;Bevolkingsdichtheid_57;TypeEenpersoonshuishouden_122;TypeEenoudergezin_123;TypePaarZonderKind_124;TypePaarMetKindEren_125;BronInkomenAlsWerknemer_126;BronInkomenAlsZelfstandige_127;AfstandTotHuisartsenpraktijk_209;AantalHuisartsenpraktijkenBinnen3Km_210;AfstandTotKinderdagverblijf_214;AantalKinderdagverblijvenBinnen3Km_215;AfstandTotSchoolBasisonderwijs_216;AfstandTotSchoolVmbo_218;AfstandTotSchoolHavoVwo_220;AfstandTotBibliotheek_226;AfstandTotSportterrein_230;AfstandTotOpenbaarGroen_231;AfstandTotOpritHoofdverkeersweg_232;AfstandTotTreinstation_233;Gemeentenaam;Provincienaam;Year
1653;GM1680;1995-01-01;;;;;;;;;;;;;;;;;;;;;Aa en Hunze;Drenthe;1995
1654;GM1680;1996-01-01;;;;;;;;;;;;;;;;;;;;;Aa en Hunze;Drenthe;1996
1655;GM1680;1997-01-01;;;;;;;;;;;;;;;;;;;;;Aa en Hunze;Drenthe;1997
1656;GM1680;1998-01-01;24806.0;89.0;;;;;;;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;Aa en Hunze;Drenthe;1998
1657;GM1680;1999-01-01;24751.0;89.0;;;;;;;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;Aa en Hunze;Drenthe;1999
1658;GM1680;2000-01-01;24824.0;89.0;;;;;;;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;Aa en Hunze;Drenthe;2000
1659;GM1680;2001-01-01;25208.0;91.0;;;;;;;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;Aa en Hunze;Drenthe;2001
1660;GM1680;2002-01-01;25552.0;92.0;;;;;;;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;Aa en Hunze;Drenthe;2002
1661;GM1680;2003-01-01;25305.0;91.0;;;;;;;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;Aa en Hunze;Drenthe;2003
1662;GM1680;2004-01-01;25218.0;91.0;;;;;;;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;Aa en Hunze;Drenthe;2004
1663;GM1680;2005-01-01;25329.0;91.0;;;;;;;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;Aa en Hunze;Drenthe;2005
1664;GM1680;2006-01-01;25507.0;92.0;;;;;;;       .;       .;       .;       .;     1.0;     5.7;     9.2;     2.5;     1.0;     0.7;     1.5;       .;Aa en Hunze;Drenthe;2006
1665;GM1680;2007-01-01;25563.0;92.0;;;;;;;     2.3;     1.5;     2.3;     1.5;     1.0;     5.7;     9.2;     2.5;       .;       .;     1.6;    13.4;Aa en Hunze;Drenthe;2007
