ID;Perioden;JaarmutatieCPI_1;JaarmutatieCPIAfgeleid_2;Year
12;1963-01-01;3.8;;1963
25;1964-01-01;5.5;;1964
38;1965-01-01;5.2;;1965
51;1966-01-01;5.8;;1966
64;1967-01-01;3.1;;1967
77;1968-01-01;3.7;;1968
90;1969-01-01;7.5;;1969
103;1970-01-01;4.4;;1970
116;1971-01-01;7.6;;1971
129;1972-01-01;7.8;;1972
142;1973-01-01;8.0;;1973
155;1974-01-01;9.6;;1974
168;1975-01-01;10.2;;1975
181;1976-01-01;8.8;;1976
194;1977-01-01;6.7;;1977
207;1978-01-01;4.1;;1978
220;1979-01-01;4.2;;1979
233;1980-01-01;6.5;;1980
246;1981-01-01;6.7;;1981
259;1982-01-01;6.0;;1982
272;1983-01-01;2.8;;1983
285;1984-01-01;3.3;;1984
298;1985-01-01;2.3;;1985
311;1986-01-01;0.2;;1986
324;1987-01-01;-0.5;;1987
337;1988-01-01;0.7;;1988
350;1989-01-01;1.1;;1989
363;1990-01-01;2.5;;1990
376;1991-01-01;3.9;;1991
389;1992-01-01;3.7;;1992
402;1993-01-01;2.1;;1993
415;1994-01-01;2.7;2.4;1994
428;1995-01-01;2.0;1.8;1995
441;1996-01-01;2.1;1.5;1996
454;1997-01-01;2.2;2.0;1997
467;1998-01-01;2.0;1.7;1998
480;1999-01-01;2.2;1.7;1999
493;2000-01-01;2.6;2.2;2000
506;2001-01-01;4.5;3.6;2001
519;2002-01-01;3.4;3.4;2002
532;2003-01-01;2.1;1.9;2003
545;2004-01-01;1.2;0.9;2004
558;2005-01-01;1.7;1.4;2005
571;2006-01-01;1.1;1.5;2006
584;2007-01-01;1.6;1.5;2007
597;2008-01-01;2.5;2.2;2008
610;2009-01-01;1.2;0.9;2009
623;2010-01-01;1.3;1.1;2010
636;2011-01-01;2.3;2.2;2011
649;2012-01-01;2.5;2.1;2012
662;2013-01-01;2.5;1.3;2013
675;2014-01-01;1.0;0.6;2014
688;2015-01-01;0.6;0.5;2015
701;2016-01-01;0.3;0.3;2016
714;2017-01-01;1.4;1.4;2017
727;2018-01-01;1.7;1.4;2018
740;2019-01-01;2.6;1.6;2019
753;2020-01-01;1.3;1.2;2020
766;2021-01-01;2.7;2.5;2021
779;2022-01-01;10.0;11.8;2022
