ID;Perioden;JaarmutatieCPI_1;JaarmutatieCPIAfgeleid_2;Year;Month
0;1963-01-01;3.9;;1963;01
1;1963-02-01;5.8;;1963;02
2;1963-03-01;4.8;;1963;03
3;1963-04-01;1.9;;1963;04
4;1963-05-01;2.8;;1963;05
5;1963-06-01;1.9;;1963;06
6;1963-07-01;1.9;;1963;07
7;1963-08-01;1.9;;1963;08
8;1963-09-01;2.8;;1963;09
9;1963-10-01;3.8;;1963;10
10;1963-11-01;3.8;;1963;11
11;1963-12-01;3.8;;1963;12
13;1964-01-01;4.7;;1964;01
14;1964-02-01;2.8;;1964;02
15;1964-03-01;3.7;;1964;03
16;1964-04-01;7.3;;1964;04
17;1964-05-01;5.5;;1964;05
18;1964-06-01;4.5;;1964;06
19;1964-07-01;7.5;;1964;07
20;1964-08-01;8.4;;1964;08
21;1964-09-01;7.3;;1964;09
22;1964-10-01;6.4;;1964;10
23;1964-11-01;6.4;;1964;11
24;1964-12-01;5.5;;1964;12
26;1965-01-01;3.6;;1965;01
27;1965-02-01;4.5;;1965;02
28;1965-03-01;5.3;;1965;03
29;1965-04-01;3.4;;1965;04
30;1965-05-01;6.1;;1965;05
31;1965-06-01;7.0;;1965;06
32;1965-07-01;6.1;;1965;07
33;1965-08-01;4.3;;1965;08
34;1965-09-01;5.1;;1965;09
35;1965-10-01;4.3;;1965;10
36;1965-11-01;5.2;;1965;11
37;1965-12-01;6.0;;1965;12
39;1966-01-01;6.9;;1966;01
40;1966-02-01;7.7;;1966;02
41;1966-03-01;6.7;;1966;03
42;1966-04-01;7.4;;1966;04
43;1966-05-01;6.6;;1966;05
44;1966-06-01;5.7;;1966;06
45;1966-07-01;4.9;;1966;07
46;1966-08-01;5.8;;1966;08
47;1966-09-01;4.1;;1966;09
48;1966-10-01;5.8;;1966;10
49;1966-11-01;4.9;;1966;11
50;1966-12-01;4.1;;1966;12
52;1967-01-01;3.2;;1967;01
53;1967-02-01;2.4;;1967;02
54;1967-03-01;2.4;;1967;03
55;1967-04-01;2.3;;1967;04
