GemiddeldeWOZWaardeVanWoningen_98;Gemeentenaam;Bevolkingsdichtheid_57;AfstandTotHuisartsenpraktijk_209;AfstandTotKinderdagverblijf_214;AfstandTotBibliotheek_226;AfstandTotOpritHoofdverkeersweg_232;AfstandTotTreinstation_233
298.0;0;93.0;2.4;1.1;2.7;1.6;12.4
427.0;1;1615.0;0.9;0.7;2.7;1.1;8.2
265.0;2;281.0;1.5;0.8;1.7;1.0;4.4
226.0;3;274.0;1.6;0.8;3.0;1.4;7.3
274.0;4;2290.0;0.9;0.5;1.5;2.3;8.4
365.0;5;1197.0;0.9;0.7;3.6;1.6;9.1
287.0;6;1004.0;1.0;0.6;1.6;1.2;3.1
225.0;7;1089.0;1.1;0.6;2.7;2.6;2.3
310.0;8;1686.0;1.0;0.5;2.5;1.7;2.2
309.0;9;897.0;0.9;0.6;2.5;1.7;3.4
397.0;10;112.0;1.6;1.0;6.7;1.1;12.8
320.0;11;285.0;1.1;0.8;2.9;2.0;12.5
311.0;12;66.0;2.2;1.1;1.3;19.1;39.6
367.0;13;2538.0;0.9;0.5;1.7;1.7;2.8
470.0;14;2246.0;0.9;0.6;2.0;1.4;6.5
434.0;15;5336.0;0.6;0.4;1.3;2.2;2.9
306.0;16;487.0;0.9;0.7;2.1;2.2;3.3
;Appingedam;;;;;;
265.0;17;1677.0;1.0;0.6;1.9;2.0;2.4
238.0;18;842.0;1.2;0.8;3.0;2.8;3.8
364.0;19;243.0;1.3;0.7;1.8;1.9;8.4
361.0;20;91.0;2.5;1.6;2.5;2.2;19.2
411.0;21;764.0;0.9;0.6;1.3;1.3;1.5
368.0;22;2488.0;1.3;0.6;1.8;2.3;3.3
376.0;23;345.0;1.3;0.9;2.3;1.5;3.4
252.0;24;751.0;1.0;0.8;1.8;1.7;1.9
263.0;25;459.0;0.9;0.8;1.6;1.4;3.9
;Beemster;;;;;;
252.0;26;481.0;1.0;0.7;1.5;2.6;1.5
304.0;27;405.0;1.0;0.8;1.3;1.1;7.5
385.0;28;187.0;1.2;0.8;2.8;3.4;19.2
281.0;29;127.0;2.3;1.0;4.5;1.7;8.1
477.0;30;300.0;1.4;0.9;1.6;1.5;6.5
270.0;31;849.0;0.9;0.6;2.4;2.0;2.8
299.0;32;170.0;1.6;1.2;1.9;1.3;9.5
374.0;33;353.0;1.4;0.8;1.5;2.2;8.1
359.0;34;903.0;1.0;0.6;1.8;1.7;1.7
329.0;35;602.0;0.9;0.7;1.7;2.6;6.8
286.0;36;2293.0;0.7;0.6;1.4;1.7;1.9
473.0;37;657.0;1.0;0.7;2.1;1.6;2.6
367.0;38;275.0;1.3;0.7;1.7;1.5;20.7
731.0;39;1116.0;1.1;0.7;2.9;1.5;8.3
830.0;40;597.0;0.9;0.6;1.7;1.3;1.8
381.0;41;474.0;1.1;0.8;2.2;1.3;3.0
344.0;42;320.0;1.7;1.1;1.8;1.3;18.0
253.0;43;93.0;2.0;1.4;2.4;2.1;15.5
313.0;44;924.0;1.2;0.8;1.7;1.0;1.5
265.0;45;161.0;1.8;0.9;3.4;1.7;8.9
;Boxmeer;;;;;;
324.0;46;480.0;1.2;0.7;2.1;1.8;2.5
336.0;47;1469.0;0.8;0.5;2.6;2.6;3.2
306.0;48;643.0;1.7;1.1;1.8;1.0;23.2
352.0;49;127.0;1.9;1.1;2.5;1.1;6.2
311.0;50;250.0;1.2;0.8;1.5;1.2;4.6
188.0;51;1605.0;1.0;0.7;1.6;1.3;6.2
435.0;52;422.0;0.8;0.7;2.9;0.8;3.4
374.0;53;735.0;1.4;0.8;1.9;1.8;9.2
380.0;54;203.0;1.8;1.2;4.8;1.3;7.2
270.0;55;4751.0;0.8;0.5;2.4;2.2;3.5
405.0;56;730.0;0.8;0.6;1.2;1.6;2.8
250.0;57;120.0;2.0;1.2;2.1;1.3;5.4
328.0;58;270.0;1.4;0.8;1.9;4.0;5.9
;Cuijk;;;;;;
308.0;59;1004.0;0.9;0.5;1.7;1.8;1.8
356.0;60;177.0;2.1;1.1;1.6;1.2;6.5
248.0;61;224.0;1.1;0.9;4.7;2.4;4.5
288.0;62;4614.0;0.6;0.4;1.5;1.4;1.8
;Delfzijl;;;;;;
340.0;63;279.0;1.3;0.8;2.5;2.0;3.4
272.0;64;777.0;1.1;0.5;1.4;1.7;2.4
365.0;65;2664.0;0.8;0.7;1.3;1.3;1.1
312.0;66;1417.0;1.0;0.7;2.3;1.7;3.2
340.0;67;151.0;2.1;0.9;3.1;1.1;10.1
253.0;68;955.0;1.0;0.7;1.3;1.1;6.1
259.0;69;741.0;1.1;0.8;2.4;1.6;1.9
305.0;70;906.0;1.5;0.7;1.9;2.2;8.5
248.0;71;1541.0;0.9;0.5;1.4;1.6;1.9
336.0;72;339.0;1.6;0.9;1.9;1.6;3.4
337.0;73;289.0;1.2;0.7;1.4;2.1;9.4
284.0;74;128.0;1.6;1.3;2.4;1.5;5.2
314.0;75;511.0;1.3;0.6;2.0;2.3;14.7
291.0;76;736.0;1.1;0.8;2.0;2.2;1.6
260.0;77;308.0;1.6;1.0;3.9;0.9;2.4
363.0;78;671.0;1.3;1.0;2.4;1.5;9.5
335.0;79;377.0;1.2;0.7;2.2;1.6;3.0
444.0;80;304.0;1.2;0.9;1.2;1.2;7.0
182.0;81;169.0;1.8;1.1;2.6;1.3;3.2
397.0;82;240.0;1.8;0.9;3.2;2.8;15.3
317.0;83;333.0;1.1;0.9;2.7;1.4;4.1
314.0;84;2708.0;0.8;0.6;3.5;2.6;3.3
307.0;85;372.0;1.1;0.8;1.2;0.8;4.7
208.0;86;322.0;1.5;0.8;2.8;2.1;5.7
269.0;87;1470.0;0.8;0.6;1.4;1.4;1.9
