ID;RegioS;Perioden;GemiddeldeWOZWaardeVanWoningen_98;Gemeentenaam;Provincienaam;Year
1653;GM1680;1995-01-01;;Aa en Hunze;Drenthe;1995
1654;GM1680;1996-01-01;;Aa en Hunze;Drenthe;1996
1655;GM1680;1997-01-01;;Aa en Hunze;Drenthe;1997
1656;GM1680;1998-01-01;      79;Aa en Hunze;Drenthe;1998
1657;GM1680;1999-01-01;      80;Aa en Hunze;Drenthe;1999
1658;GM1680;2000-01-01;      80;Aa en Hunze;Drenthe;2000
1659;GM1680;2001-01-01;     139;Aa en Hunze;Drenthe;2001
1660;GM1680;2002-01-01;     140;Aa en Hunze;Drenthe;2002
1661;GM1680;2003-01-01;     140;Aa en Hunze;Drenthe;2003
1662;GM1680;2004-01-01;     141;Aa en Hunze;Drenthe;2004
1663;GM1680;2005-01-01;     212;Aa en Hunze;Drenthe;2005
1664;GM1680;2006-01-01;     212;Aa en Hunze;Drenthe;2006
1665;GM1680;2007-01-01;     239;Aa en Hunze;Drenthe;2007
1666;GM1680;2008-01-01;     253;Aa en Hunze;Drenthe;2008
1667;GM1680;2009-01-01;     261;Aa en Hunze;Drenthe;2009
1668;GM1680;2010-01-01;     263;Aa en Hunze;Drenthe;2010
1669;GM1680;2011-01-01;     261;Aa en Hunze;Drenthe;2011
1670;GM1680;2012-01-01;     254;Aa en Hunze;Drenthe;2012
1671;GM1680;2013-01-01;     240;Aa en Hunze;Drenthe;2013
1672;GM1680;2014-01-01;     224;Aa en Hunze;Drenthe;2014
1673;GM1680;2015-01-01;     217;Aa en Hunze;Drenthe;2015
1674;GM1680;2016-01-01;     217;Aa en Hunze;Drenthe;2016
1675;GM1680;2017-01-01;     227;Aa en Hunze;Drenthe;2017
1676;GM1680;2018-01-01;     229;Aa en Hunze;Drenthe;2018
1677;GM1680;2019-01-01;     241;Aa en Hunze;Drenthe;2019
1678;GM1680;2020-01-01;     257;Aa en Hunze;Drenthe;2020
1679;GM1680;2021-01-01;     271;Aa en Hunze;Drenthe;2021
1680;GM1680;2022-01-01;     298;Aa en Hunze;Drenthe;2022
1681;GM1680;2023-01-01;     342;Aa en Hunze;Drenthe;2023
1711;GM0358;1995-01-01;       .;Aalsmeer;Noord-Holland;1995
1712;GM0358;1996-01-01;       .;Aalsmeer;Noord-Holland;1996
1713;GM0358;1997-01-01;     103;Aalsmeer;Noord-Holland;1997
1714;GM0358;1998-01-01;     103;Aalsmeer;Noord-Holland;1998
1715;GM0358;1999-01-01;     103;Aalsmeer;Noord-Holland;1999
1716;GM0358;2000-01-01;     104;Aalsmeer;Noord-Holland;2000
1717;GM0358;2001-01-01;     185;Aalsmeer;Noord-Holland;2001
1718;GM0358;2002-01-01;     186;Aalsmeer;Noord-Holland;2002
1719;GM0358;2003-01-01;     188;Aalsmeer;Noord-Holland;2003
